name,line,latitude,longitude
Vaughan Metropolitan Center,line 1,43.794399,-79.527111
Highway 407,line 1,43.783385,-79.52334
Pioneer Village,line 1,43.777378,-79.510372
York University,line 1,43.773903,-79.500066
Finch West,line 1,43.76528,-79.490593
Downsview Park,line 1,43.75005381,-79.46234274
Sheppard West,line 1,43.749788,-79.461909
Wilson,line 1,43.73458062,-79.44992871
Yorkdale,line 1,43.72481302,-79.44750946
Lawrence West,line 1,43.71638143,-79.44402915
Glencairn,line 1,43.70981996,-79.44152842
Eglinton West,line 1,43.69899665,-79.43598953
St Clair West,line 1,43.68435203,-79.41453588
Dupont,line 1,43.67490988,-79.40725667
Spadina,line 1,43.66771459,-79.40375197
St George,line 1,43.66831877,-79.39867229
Museum,line 1,43.66717707,-79.39350223
Queen's Park,line 1,43.65970495,-79.39034904
St Patrick,line 1,43.65461164,-79.38829598
Osgoode,line 1,43.65087411,-79.38661732
St Andrew,line 1,43.64764565,-79.38513048
Union,line 1,43.64572267,-79.38046226
King,line 1,43.64912088,-79.37804513
Queen,line 1,43.65234651,-79.3793265
Dundas,line 1,43.65613653,-79.38072965
College,line 1,43.66122997,-79.38278217
Wellesley,line 1,43.66518294,-79.38377079
Bloor-Yonge,line 1,43.670672,-79.38595009
Rosedale,line 1,43.67690095,-79.38872589
Summerhill,line 1,43.68245,-79.39117824
St Clair,line 1,43.68816298,-79.39328435
Davisville,line 1,43.69812339,-79.39733141
Eglinton,line 1,43.70664584,-79.39915846
Lawrence,line 1,43.72542192,-79.40187758
York Mills,line 1,43.74499592,-79.40533068
Sheppard-Yonge,line 1,43.76167434,-79.41098715
North York Centre,line 1,43.76924125,-79.4129116
Finch,line 1,43.78149012,-79.41567261
Kipling,line 2,43.63802031,-79.53638812
Islington,line 2,43.64595008,-79.52394798
Royal York,line 2,43.64880444,-79.51154051
Old Mill,line 2,43.65057649,-79.49522499
Jane,line 2,43.65029127,-79.48477178
Runnymede,line 2,43.65216695,-79.47649916
High Park,line 2,43.65459423,-79.46552962
Keele,line 2,43.65570079,-79.46031548
Dundas West,line 2,43.65714206,-79.45267843
Lansdowne,line 2,43.65914292,-79.44296991
Dufferin,line 2,43.6606651,-79.4359558
Ossington,line 2,43.66266333,-79.42615682
Christie,line 2,43.66425178,-79.41869303
Bathurst,line 2,43.66599176,-79.41158255
Spadina,line 2,43.66764776,-79.4037584
St George,line 2,43.66831164,-79.39864323
Bay,line 2,43.67040029,-79.39027029
Bloor-Yonge,line 2,43.67070606,-79.38587981
Sherbourne,line 2,43.67234508,-79.37698161
Castle Frank,line 2,43.67414063,-79.36879416
Broadview,line 2,43.67686172,-79.35852385
Chester,line 2,43.67837735,-79.35141628
Pape,line 2,43.67968493,-79.34520853
Donlands,line 2,43.68105008,-79.33792557
Greenwood,line 2,43.68270361,-79.33027644
Coxwell,line 2,43.68414917,-79.32352724
Woodbine,line 2,43.6863529,-79.31335711
Main Street,line 2,43.68891661,-79.30272876
Victoria Park,line 2,43.69432082,-79.29031894
Warden,line 2,43.71224201,-79.27898037
Kennedy,line 2,43.73211815,-79.26569845
Kennedy,line 3,43.73219165,-79.26569632
Lawrence East,line 3,43.7502148,-79.27090721
Ellesmere,line 3,43.76722615,-79.27731467
Midland,line 3,43.77016839,-79.27248232
Scarborough Centre,line 3,43.77384411,-79.25786316
McCowan,line 3,43.77551255,-79.25154339
Sheppard-Yonge,line 4,43.76161811,-79.41098864
Bayview,line 4,43.76725222,-79.38739865
Bessarion,line 4,43.76912679,-79.37672419
Leslie,line 4,43.77113245,-79.36741635
Don Mills,line 4,43.77556464,-79.34693642